采集时间,航班号,高度(米),速度(米/秒),航向(度),经度,纬度,是否地面,ICAO24
2026-04-06 00:19:11,THY89,3093.72,141.47,0.21,116.5413,40.4302,False,4bb18d
2026-04-06 00:57:00,MGL308,10393.68,203.75,343.12,116.7409,40.3483,False,682231
2026-04-06 00:57:00,UAE307,2392.68,141.22,352.25,116.5568,40.3256,False,8963d1
2026-04-06 00:57:00,CCA1130,2887.98,151.74,173.38,116.7172,40.1743,False,780d8b
2026-04-06 01:28:13,MML802,7627.62,163.1,312.7,116.7832,40.5077,False,68213e
2026-04-06 01:28:13,GEC8430,3238.5,177.39,132.06,116.6191,40.1932,False,3c70c6
2026-04-06 01:28:13,CCA1684,2628.9,137.83,173.14,116.7164,40.1796,False,780f1c
2026-04-06 01:57:43,ETH673,10393.68,214.89,326.92,116.8241,40.2412,False,040219
2026-04-06 02:42:27,CCA863,4076.7,154.61,3.43,116.5461,40.5014,False,780b46
2026-04-06 02:42:27,AHY068,5920.74,188.63,3.44,116.5654,40.7723,False,424293
2026-04-06 02:42:27,CES201,10386.06,233.78,351.14,116.7982,40.0818,False,782272
2026-04-06 02:42:27,SHU5431,6004.56,178.73,353.22,116.9572,40.15,False,151fcb
2026-04-06 03:23:30,CCA845,4983.48,185.49,3.18,116.565,40.7558,False,781e13
2026-04-06 03:23:30,DKH1661,10401.3,237.33,351.27,116.8077,40.0333,False,7818a8
2026-04-06 03:23:30,CCA962,3268.98,159.16,113.83,116.4307,40.1423,False,78076c
2026-04-06 03:23:30,CPA395,3634.74,142.72,241.59,116.4447,40.3128,False,789268
2026-04-06 03:23:30,CHH489,3939.54,163.88,3.42,116.5512,40.5685,False,78140e
2026-04-06 03:52:42,CHH492,2667,159.27,149.96,116.6844,40.1745,False,78105e
2026-04-06 03:52:42,ANA8528,2225.04,138.78,39.89,116.5865,40.2469,False,861b47
2026-04-06 04:17:28,CCA862,3345.18,139.96,91.26,116.588,40.4212,False,781fb3
2026-04-06 04:17:28,CCA852,4160.52,153.33,90.96,116.2552,40.426,False,781fb4
2026-04-06 04:17:28,CHH752,2712.72,160.77,141.63,116.6641,40.179,False,7812a4
2026-04-06 04:51:39,CCA966,2727.96,151.91,159.17,116.6993,40.1734,False,7808ac
2026-04-06 04:51:39,KZR267,2720.34,160.7,145.04,116.6519,40.2013,False,4cac03
2026-04-06 05:18:38,CSN495,9174.48,215,351.19,116.8171,39.9868,False,781940
2026-04-06 05:50:07,SBI6312,6004.56,169.6,348.45,116.7522,40.0816,False,151ec0
2026-04-06 06:15:00,SBI5724,4968.24,172.55,349.7,116.7731,39.971,False,151fd9
2026-04-06 06:52:07,THY6597,9174.48,212.97,351.11,116.8164,39.9907,False,4bb153
2026-04-06 06:52:07,CCA1621,2758.44,144.79,37.93,116.8281,40.1996,False,780529
2026-04-06 06:52:07,CCA1613,5638.8,177.99,4.31,116.989,40.5057,False,7805f2
2026-04-06 06:52:07,CCA1917,4602.48,177.84,240.54,116.2746,40.1229,False,7806c0
2026-04-06 06:52:07,CCA1975,4640.58,173.16,3.41,116.5514,40.569,False,782106
2026-04-06 06:52:07,GTI8187,11315.7,288.88,96.44,116.2436,40.374,False,abb325
2026-04-06 06:52:07,CSC8837,2575.56,123.51,268.57,116.5294,40.2404,False,780dde
2026-04-06 07:20:15,LSI252,9174.48,212.89,351.24,116.7652,40.2465,False,300a5c
2026-04-06 07:20:15,CSG2658,11003.28,229.63,230.82,117.0492,40.7896,False,780654
2026-04-06 07:20:15,GDC7139,5730.24,180.16,1.96,116.6483,40.6209,False,780687
2026-04-06 07:20:15,AFR264,12527.28,294.49,107.49,116.5121,40.3447,False,39cf03
2026-04-06 07:20:15,CCA1825,4267.2,181.86,173.18,117.0668,40.126,False,78076f
2026-04-06 07:20:15,VIR208,11917.68,290.36,96.31,116.1809,40.3797,False,406c39
2026-04-06 07:20:15,CDG2124,5059.68,191.29,168.99,117.0823,40.032,False,780820
2026-04-06 07:20:15,CCA1659,5699.76,164.03,338.67,116.8059,40.7693,False,7810f9
2026-04-06 07:20:15,LOT99,11910.06,285.56,152.42,116.7589,40.2371,False,48ae21
2026-04-06 07:20:15,KZR909,11308.08,276.95,96.4,116.3928,40.3613,False,4cac0e
2026-04-06 07:52:20,VSV468,10393.68,199.61,355.86,116.5547,40.9073,False,6832b4
2026-04-06 07:52:20,CSN6144,6286.5,168.07,352.61,116.8492,40.4797,False,780c3c
2026-04-06 07:52:20,CHH7986,3596.64,174.43,91.18,116.2524,40.4261,False,781555
2026-04-06 07:52:20,CSC3125,2537.46,122.44,270,116.4023,40.2259,False,780467
2026-04-06 07:52:20,CCA8665,7559.04,185.75,358.89,116.8047,40.642,False,7804bf
2026-04-06 07:52:20,CCA1925,5402.58,152.79,269.81,116.2678,40.3167,False,7806e0
2026-04-06 07:52:20,CHH7966,3596.64,171.02,92.93,116.6169,40.4208,False,7806e1
2026-04-06 07:52:20,CHH7601,3810,141.41,235.67,116.2543,40.0967,False,7807b4
2026-04-06 07:52:20,CCA4125,2080.26,129.09,352.9,116.5758,40.2117,False,782318
2026-04-06 07:52:20,CCA1369,3954.78,143.02,270.21,116.376,40.3168,False,781349
2026-04-06 07:52:20,KZR282,9182.1,197.56,355.82,116.5583,40.8711,False,4cac12
2026-04-06 09:06:45,CQH6471,7498.08,185.94,357.15,116.7526,40.3233,False,780ad9
2026-04-06 09:06:45,FIN41,10088.88,301.71,117.96,116.578,40.3208,False,461f56
2026-04-06 09:06:45,CCA1112,2705.1,150.27,173.12,116.7166,40.1778,False,781f70
2026-04-06 09:06:45,HXA4027,7802.88,212.68,199.79,117.0876,40.3011,False,7803a8
2026-04-06 09:06:45,CSN6341,10401.3,210.83,233.63,116.6483,40.5187,False,7803b1
2026-04-06 09:06:45,CCA4011,10698.48,198.77,351.37,116.8086,40.03,False,780490
2026-04-06 09:06:45,CSN6201,3741.42,167.82,173.31,116.718,40.168,False,781808
2026-04-06 09:06:45,CCA2739,9479.28,188.37,351.36,116.8285,39.9289,False,78057f
2026-04-06 09:06:45,CJX8927,9479.28,190.05,351.12,116.7637,40.2529,False,78123c
2026-04-06 09:06:45,CCA1289,3352.8,135.61,253.7,116.4433,40.2142,False,781326
2026-04-06 09:06:45,未知,4991.1,151.5,3.31,116.5648,40.7505,False,7812dc
2026-04-06 12:14:01,CBJ5271,9479.28,185.24,351.37,116.8738,40.0342,False,780d46
2026-04-06 12:14:01,CSZ228,10698.48,194.62,351.33,116.7991,40.0775,False,78029d
2026-04-06 12:14:01,CUA5520,3832.86,167.95,172.96,116.7287,40.1006,False,781626
2026-04-06 12:14:01,KAL946,10088.88,274.22,171.37,116.796,40.0983,False,71c209
2026-04-06 12:14:01,CCA8666,3002.28,153.97,172.9,116.7159,40.1814,False,7804bf
2026-04-06 12:14:01,AAR502,11308.08,270.8,167.05,116.8239,39.9549,False,71c383
2026-04-06 12:14:01,CHH7335,4709.16,138.7,235.43,116.3149,40.24,False,7806e1
2026-04-06 12:14:01,KAL969,10386.06,215.52,356.17,116.5623,40.8224,False,71c537
2026-04-06 12:14:01,CHH7209,10698.48,205.32,5.9,116.7722,40.5215,False,7808a1
2026-04-06 12:14:01,CSC8894,2994.66,131.19,270.67,116.282,40.2261,False,78206d
2026-04-06 12:14:01,CHH7198,2606.04,103.57,173.44,116.7184,40.1694,False,7820f6
2026-04-06 12:14:01,CHH7186,2301.24,110.68,168.74,116.7273,40.189,False,7812ee
2026-04-06 12:14:01,KZR910,10393.68,200.96,351.16,116.8632,40.089,False,4cac0e
2026-04-06 16:00:07,GCR7611,8869.68,191.81,5.7,116.7757,40.5516,False,780d33
2026-04-06 16:00:07,CQN2377,9486.9,183.46,5.47,116.7955,40.7026,False,78169f
2026-04-06 16:00:07,CCA115,4290.06,145.05,238.34,116.2941,40.1624,False,7803f5
2026-04-06 16:00:07,GCR6675,8107.68,160.22,5.53,116.7783,40.5686,False,780661
2026-04-06 16:00:07,CCA1234,2842.26,150.61,173.72,116.7108,40.2185,False,7bb0fe
2026-04-06 16:00:07,CCA1476,2491.74,115.74,174.64,116.7156,40.1845,False,7812dd
2026-04-06 17:15:51,HBH3242,9784.08,215.59,230.42,116.4849,40.4345,False,780b3f
2026-04-06 17:15:51,CCA2729,9486.9,188.87,351.38,116.8059,40.0427,False,7804e7
2026-04-06 17:15:51,CCA1957,2910.84,129.09,300.14,116.5018,40.3044,False,7806e0
2026-04-06 17:15:51,CCA1224,2743.2,152.31,173.21,116.718,40.1718,False,7808ca
2026-04-06 17:15:51,CCA1235,2430.78,133.76,345.75,116.5644,40.2527,False,7822d6
2026-04-06 17:15:51,CUA5570,4000.5,170.07,194.54,116.6836,40.4103,False,781164
2026-04-06 17:15:51,CHH7759,10340.34,186.37,2.21,116.8054,40.824,False,7812e5
2026-04-06 17:15:51,AMU001,5250.18,162.66,236.61,116.2258,40.1586,False,780eb3
2026-04-06 18:33:21,MZT5029,10393.68,190.19,303.86,116.3018,40.7384,False,781b03
2026-04-06 18:33:21,CSC3126,2430.78,143.51,173.21,116.7165,40.1819,False,780467
2026-04-06 18:33:21,CCA1263,2895.6,129.67,268.86,116.3858,40.2258,False,782318
