采集时间,航班号,高度(米),速度(米/秒),航向(度),经度,纬度,是否地面,ICAO24
2026-04-04 02:24:25,CES249,10393.68,222.93,342.82,116.703,40.4416,False,781634
2026-04-04 02:24:25,CHH7925,3718.56,163.8,2.88,116.5442,40.4727,False,78110d
2026-04-04 02:24:25,SHU5469,7734.3,203.56,353.32,116.9312,40.3189,False,151fce
2026-04-04 03:08:59,未知,2461.26,142.46,20.73,116.8421,40.2102,False,78076d
2026-04-04 03:08:59,CHH751,4861.56,169.97,357.22,116.5654,40.791,False,78139f
2026-04-04 03:08:59,TUA607,3604.26,166.49,121.48,116.654,40.4107,False,601829
2026-04-04 03:08:59,CCA720,3596.64,157.96,90.93,116.2473,40.4262,False,780fd9
2026-04-04 03:51:22,CHH769,2430.78,139.19,21.92,116.5004,40.3457,False,781591
2026-04-04 03:51:22,CCA842,3726.18,177.03,91.5,116.284,40.4497,False,781642
2026-04-04 03:51:22,SDM6622,5676.9,191.63,353.37,116.9647,40.0997,False,151e04
2026-04-04 03:51:22,SHU5431,8069.58,214.28,2.89,116.8021,40.7723,False,151fc9
2026-04-04 04:19:33,CHH754,3505.2,175.49,137.38,116.5828,40.2389,False,781318
2026-04-04 05:30:42,CSN453,9174.48,233.19,351.24,116.7928,40.108,False,781941
2026-04-04 05:30:42,CCA908,2606.04,148.74,173.05,116.7162,40.1798,False,78100a
2026-04-04 05:30:42,TUA608,2720.34,143.54,8.45,116.5408,40.4295,False,601829
2026-04-04 05:59:01,SBI6312,8694.42,196.18,344.8,116.6626,40.5084,False,151ec2
2026-04-04 07:04:02,CCA1917,4678.68,164.8,236.46,116.3242,40.2033,False,7800c8
2026-04-04 07:04:02,CCA1469,2133.6,134.77,330.5,116.567,40.2489,False,7815c5
2026-04-04 07:04:02,CCA8621,5394.96,180.74,341.93,116.9363,39.9148,False,780528
2026-04-04 07:04:02,CDG2124,3893.82,187.43,160.77,117.0678,40.1197,False,78067b
2026-04-04 07:04:02,BJN8383,6004.56,191.63,353.37,116.9496,40.2004,False,7805c6
2026-04-04 07:04:02,AFR264,11308.08,277.34,122.04,116.6086,40.3084,False,39cf0b
2026-04-04 07:04:02,CCA1215,3939.54,170.74,343.37,116.679,40.4902,False,7812e2
2026-04-04 07:04:02,AAR552,10088.88,272.82,144.36,116.7359,40.2682,False,71bf55
2026-04-04 07:45:22,DLH728,11308.08,289.51,96.63,116.4807,40.3538,False,3c4a13
2026-04-04 07:45:22,THY197,3802.38,182.4,336.04,116.7889,40.4349,False,4bb18e
2026-04-04 07:45:22,CCA1405,4312.92,165.67,235.37,116.2501,40.1831,False,781fb3
2026-04-04 07:45:22,MGL223,2644.14,157.66,146.31,116.6744,40.1784,False,4ca1aa
2026-04-04 07:45:22,CCA1925,2750.82,138.02,237.79,116.4488,40.2479,False,7804e8
2026-04-04 07:45:22,CGN8349,10698.48,215,351.19,116.7662,40.2416,False,780739
2026-04-04 07:45:22,CKK203,9174.48,230.83,346.34,116.7438,40.3367,False,782240
2026-04-04 07:45:22,CBJ5217,7620,209.43,355.77,116.5581,40.8722,False,78137b
2026-04-04 07:45:22,CCA1689,5128.26,188.85,358.75,116.8055,40.7636,False,780fe1
2026-04-04 07:45:22,AIH794,10104.12,290.99,96.5,116.3551,40.3644,False,71be46
2026-04-04 08:03:39,CCA8665,6004.56,191.89,359.54,116.8043,40.5112,False,7804bf
2026-04-04 08:03:39,未知,2865.12,135.98,352.39,116.5532,40.3461,False,780980
2026-04-04 08:03:39,CQH6809,9784.08,194.52,229.61,116.2272,40.2726,False,7810d6
2026-04-04 08:03:39,CUA5595,8008.62,207.98,2.13,116.8067,40.8522,False,781387
2026-04-04 10:53:52,CCA180,2103.12,120.79,82.91,116.3137,40.3518,False,780bfa
2026-04-04 10:53:52,HXA4808,6888.48,223.74,134.16,117.1285,40.0464,False,781633
2026-04-04 10:53:52,CHH7073,9479.28,211.36,351.18,116.8003,40.0721,False,780372
2026-04-04 10:53:52,未知,3596.64,176.17,196.11,116.6863,40.4141,False,7803f7
2026-04-04 10:53:52,CCA1932,2811.78,141.37,41.75,116.2157,40.3208,False,782214
2026-04-04 10:53:52,AAR501,9174.48,232.68,351.22,116.781,40.1689,False,71bd79
2026-04-04 12:43:54,CCA8285,10683.24,232.86,19.76,116.8184,40.7428,False,781588
2026-04-04 12:43:54,KAL925,9174.48,234.21,351.28,116.7935,40.105,False,71c275
2026-04-04 12:43:54,CCA1623,6918.96,204.01,8.7,116.8118,40.8075,False,7817ab
2026-04-04 12:43:54,AAR511,10393.68,225.69,342.76,116.6638,40.5401,False,71c308
