采集时间,航班号,高度(米),速度(米/秒),航向(度),经度,纬度,是否地面,ICAO24
2026-04-05 00:01:08,CSN8640,10088.88,247.98,33.92,116.8317,40.8853,False,781156
2026-04-05 00:47:46,CCA1298,3627.12,176.06,125.97,116.5848,40.1979,False,780426
2026-04-05 01:17:54,CLX7216,3589.02,197.57,90.9,116.1912,40.4268,False,4d0117
2026-04-05 01:50:47,CCA949,3886.2,179.38,3.62,116.5509,40.5662,False,781641
2026-04-05 01:50:47,KAL864,4861.56,174.83,137.86,116.8908,40.0663,False,71c025
2026-04-05 01:50:47,QTR859,9174.48,237.79,338.82,116.9288,40.4538,False,06a2c5
2026-04-05 01:50:47,MSR952,9784.08,241.13,351.04,116.8217,39.9636,False,0101dd
2026-04-05 02:21:22,未知,3337.56,143.19,352.57,116.5441,40.4,False,7809a5
2026-04-05 02:21:22,CES709,10393.68,235.3,342.83,116.6403,40.5969,False,781d9c
2026-04-05 02:21:22,CCA875,1920.24,124.07,350.69,116.5706,40.2376,False,78086c
2026-04-05 02:21:22,CHH7925,4312.92,145.34,3.45,116.5904,40.5699,False,781001
2026-04-05 03:39:58,CCA847,10386.06,242.52,357.57,116.8264,39.91,False,781346
2026-04-05 03:57:58,CCA962,3093.72,177.2,125.91,116.5792,40.201,False,780bf8
2026-04-05 03:57:58,CCA827,10995.66,237.36,342.08,116.7155,40.4113,False,781fb2
2026-04-05 03:57:58,CCA964,3101.34,174.95,129.87,116.6448,40.171,False,780dfb
2026-04-05 04:32:09,CCA846,3177.54,181.32,121.66,116.4736,40.2396,False,781e4d
2026-04-05 04:32:09,CCA848,12527.28,236.11,199.74,116.9982,40.1103,False,781347
2026-04-05 04:59:33,DHK053,9174.48,235.98,348.81,116.7514,40.3102,False,408143
2026-04-05 04:59:33,CCA908,2796.54,162.72,132.82,116.6043,40.2066,False,781161
2026-04-05 04:59:33,CCA702,3383.28,182.65,90.97,116.2418,40.4262,False,7812e0
2026-04-05 05:57:44,SBI6312,7810.5,205.7,356.27,116.5603,40.8432,False,151ec0
2026-04-05 06:28:43,未知,5433.06,152.99,325.13,116.9283,40.6214,False,78060a
2026-04-05 06:28:43,CCA1619,3451.86,146.19,352.93,116.5567,40.325,False,7810f8
2026-04-05 06:28:43,KZR268,5189.22,172.07,3.08,116.5635,40.7331,False,4caf23
2026-04-05 06:28:43,BOX571,9174.48,233.94,350.89,116.7562,40.2906,False,3c4596
2026-04-05 06:57:59,CCA4127,2148.84,124.76,353.61,116.5709,40.2382,False,780356
2026-04-05 06:57:59,CSZ9112,4472.94,157.99,186.73,116.8781,40.0694,False,7808ad
2026-04-05 06:57:59,CCA1621,6713.22,211.48,30.56,116.8279,40.7856,False,780e76
2026-04-05 06:57:59,CSC8837,3474.72,157.22,238.65,116.4332,40.2342,False,780dde
2026-04-05 07:31:48,CCA1697,2202.18,124.52,358.82,116.5417,40.4212,False,781ca5
2026-04-05 07:31:48,未知,2202.18,121.16,284.51,116.4229,40.2253,False,78165c
2026-04-05 07:31:48,DLH718,10073.64,261.19,134.68,116.6718,40.2781,False,3c6708
2026-04-05 07:31:48,CCA958,2804.16,164.01,105.65,116.6241,40.4199,False,78115e
2026-04-05 07:31:48,CHH7211,3436.62,160.89,251.74,116.2505,40.1828,False,7811f6
2026-04-05 07:31:48,KLM867,11330.94,271.72,152.85,116.7553,40.2465,False,4851ad
2026-04-05 07:31:48,CSN6267,5981.7,201.96,353.42,116.9732,40.0451,False,780f12
2026-04-05 07:57:38,HBH8025,6004.56,203.72,355.95,116.8675,40.0651,False,780bc5
2026-04-05 07:57:38,CBJ5217,6164.58,183.7,350.33,116.6689,40.3214,False,78193b
2026-04-05 07:57:38,CHH7986,3467.1,169.8,91.22,116.5715,40.4215,False,7806e1
2026-04-05 12:58:52,CCA1483,5158.74,133.73,251.84,116.2424,40.1808,False,7803f4
2026-04-05 12:58:52,CCA1559,4206.24,175.67,149.76,117.033,40.174,False,7804e8
2026-04-05 12:58:52,CCA1232,2781.3,153.4,173.07,116.6958,40.3122,False,7822d6
2026-04-05 12:58:52,ANA232,11910.06,281.95,127.81,116.9196,39.9661,False,86eaea
2026-04-05 15:33:00,THY90,10096.5,267.19,138.67,116.8478,39.9918,False,4bb141
2026-04-05 15:33:00,UAE306,2621.28,138.4,172.95,116.7143,40.1926,False,8963d1
2026-04-05 15:33:00,CES2271,9486.9,198.97,5.49,116.7899,40.6588,False,781603
2026-04-05 15:33:00,CCA1933,4899.66,154.05,239.5,116.2443,40.1261,False,7817f6
2026-04-05 15:33:00,CCA909,2423.16,126.82,356.28,116.5415,40.4226,False,78103c
2026-04-05 15:33:00,CCA1363,2156.46,132.53,346.99,116.5686,40.2452,False,7822d6
2026-04-05 15:33:00,CSN6902,5608.32,162.69,342.14,116.9294,39.9281,False,780fd6
2026-04-05 15:33:00,AFR202,2499.36,124.94,172.9,116.7154,40.1858,False,39c425
2026-04-05 16:05:45,CCA969,3893.82,136.84,270.22,116.3229,40.3168,False,780c43
2026-04-05 16:05:45,GCR7611,8869.68,201.63,5.71,116.7813,40.5973,False,780d33
