采集时间,航班号,高度(米),速度(米/秒),航向(度),经度,纬度,是否地面,ICAO24
2026-04-09 00:46:00,QTR807,11612.88,249.1,342.58,116.656,40.5584,False,06a0e6
2026-04-09 00:46:00,SHU5430,3756.66,169.52,192.26,116.6843,40.3888,False,151fc9
2026-04-09 02:55:05,JJA8134,5044.44,187.43,139.01,116.9521,40.0443,False,71c062
2026-04-09 02:55:05,CES785,10393.68,253.92,351.38,116.8071,40.0364,False,781ff6
2026-04-09 02:55:05,SHU5431,7551.42,221.18,28.17,117.0544,40.4919,False,151fc9
2026-04-09 05:12:09,CCA754,3352.8,158.06,116.48,116.5882,40.1714,False,78115e
2026-04-09 05:59:51,THY196,3101.34,146.06,173.33,116.7175,40.1722,False,4bb188
2026-04-09 05:59:51,CSS7202,3009.9,151.47,37.69,116.4694,40.2577,False,781f24
2026-04-09 05:59:51,AZV2890,10698.48,258.6,31.41,117.0797,40.7181,False,151e8d
2026-04-09 07:26:18,CKK203,9174.48,263.97,351.14,116.7837,40.153,False,781e8a
2026-04-09 07:26:18,CCA1689,5448.3,148.59,355.63,116.8041,40.8046,False,780731
2026-04-09 07:26:18,CCA958,3185.16,157.98,122.5,116.6556,40.4107,False,78076c
2026-04-09 07:26:18,CDG2320,7802.88,203.41,199.81,117.1433,40.4203,False,7819b7
2026-04-09 07:26:18,DLH718,12527.28,239.1,170.96,116.8245,39.9469,False,3c6709
2026-04-09 07:26:18,CHH7135,2247.9,137.58,237.68,116.3597,40.2093,False,7820f4
2026-04-09 07:26:18,CCA1359,3848.1,147.65,269.4,116.3958,40.3168,False,782278
2026-04-09 07:26:18,CCA910,2796.54,145.68,172.9,116.7139,40.1942,False,781160
2026-04-09 07:26:18,CUA5519,6004.56,211.85,353.31,116.9621,40.1175,False,781374
2026-04-09 07:26:18,CCD1617,4747.26,161.11,170.63,117.0737,40.0863,False,780fdd
2026-04-09 07:58:06,CCA1405,4960.62,167.2,269.82,116.2441,40.3166,False,781c3f
2026-04-09 07:58:06,CAO1021,9174.48,262.54,355.84,116.5554,40.8984,False,780bb6
2026-04-09 07:58:06,CSN6144,6576.06,220.19,0.54,116.7988,40.4881,False,780bd3
2026-04-09 07:58:06,CCA1251,3535.68,151.93,354.56,116.5419,40.4119,False,7817ac
2026-04-09 07:58:06,CQH6809,9784.08,203.86,242.66,116.4273,40.3772,False,781165
2026-04-09 10:22:31,CES6269,4526.28,194.69,353.48,116.9925,39.9187,False,781e40
2026-04-09 10:22:31,CCA4113,2232.66,119.39,358.52,116.2615,40.4202,False,780cb9
2026-04-09 10:22:31,GEC8401,9174.48,261.17,342.81,116.5941,40.7105,False,3c70cc
2026-04-09 10:22:31,CCA8201,2796.54,106.31,345.43,116.2503,40.3399,False,781588
2026-04-09 10:22:31,CCA1209,4366.26,178.25,278.13,116.8805,40.1879,False,7817f6
2026-04-09 10:22:31,CCA1908,2186.94,113.82,23.44,116.3631,40.3966,False,780e22
2026-04-09 10:22:31,CLX7213,3116.58,159.6,92.22,116.4915,40.397,False,4d0113
2026-04-09 14:10:36,OMA4068,7498.08,202.82,2.04,116.8074,40.8562,False,7a389c
2026-04-09 14:10:36,UEA2449,8420.1,238.29,5.58,116.7604,40.4263,False,780d5e
2026-04-09 14:10:36,CUA5651,6012.18,194.24,353.31,116.95,40.1967,False,78155a
2026-04-09 14:10:36,KAL902,10088.88,230.44,168.54,116.8174,39.991,False,71c009
2026-04-09 14:10:36,CSN6570,8107.68,248.02,5.36,116.7913,40.6691,False,781708
2026-04-09 14:10:36,CCA1490,2423.16,113,64.95,116.3008,40.3664,False,7bb0fd
2026-04-09 14:10:36,CBG8823,8869.68,227.44,351.28,116.8218,39.9642,False,7807d8
2026-04-09 14:10:36,CSN6315,11003.28,199.04,242.44,116.7337,40.5005,False,782328
2026-04-09 14:10:36,CCA1462,2209.8,123.65,72.32,116.2982,40.3397,False,7822d7
2026-04-09 14:10:36,CSN3771,9197.34,250.67,5.54,116.7968,40.717,False,78147b
2026-04-09 15:54:16,CCD1413,7002.78,169.41,257.91,116.281,40.1205,False,7809a7
2026-04-09 15:54:16,AFR274,10088.88,254.53,141.65,117.1284,39.964,False,3965a3
2026-04-09 15:54:16,CCA1476,2042.16,106.1,92.78,116.4786,40.4109,False,781fb3
2026-04-09 15:54:16,CCA1128,3596.64,161.06,72.14,116.2299,40.3755,False,780d80
2026-04-09 15:54:16,THY90,10088.88,256.2,136.63,116.9346,39.9875,False,4ba955
2026-04-09 15:54:16,THY198,10088.88,238.16,170.8,116.7773,40.1861,False,4ba949
2026-04-09 15:54:16,CCD1390,3771.9,151.36,29.53,116.1824,40.219,False,7806df
2026-04-09 15:54:16,AAR335,2506.98,93.79,260.85,116.7467,40.1976,False,71c586
2026-04-09 15:54:16,CHH7808,2705.1,119.32,67.97,116.2133,40.3398,False,78001b
